Run,Profile,Longevity,Efficiency,Final_Heat
1,Stoic,1834,3.6139606389510406,1000.8096761540226
1,Balanced,1972,4.0553956693976145,1000.5250004033549
1,Plastic,1978,3.942413057036741,1000.689192029474
2,Stoic,1825,3.6597298577370467,1001.0311727749721
2,Balanced,2011,4.017724687189989,1001.2151185821019
2,Plastic,1984,3.8995106367262644,1000.1835732491593
3,Stoic,2002,4.018603681049816,1001.4223753695849
3,Balanced,2115,4.232325011383308,1000.9907709186951
3,Plastic,2032,3.9721543515376307,1001.0203756034363
4,Stoic,1994,3.9083896348479765,1001.3681399271134
4,Balanced,2118,4.175042461779368,1000.9929917182136
4,Plastic,2218,4.368383247131435,1000.7166811121792
5,Stoic,1901,3.6738336852199085,1000.2997090849772
5,Balanced,1967,3.8297861418341816,1000.2286062594575
5,Plastic,1867,3.5947887605723707,1000.6266132543163
6,Stoic,1916,3.7244685253095815,1000.7753999554259
6,Balanced,1992,3.916710800754243,1000.4460043223727
6,Plastic,2093,4.148115558208141,1000.0278899688659
7,Stoic,2122,4.216500680399087,1000.4462604281159
7,Balanced,2079,4.031833065390606,1000.7656186831341
7,Plastic,2219,4.430430850169044,1001.3112937044164
8,Stoic,2037,4.101812973705578,1001.5004850532496
8,Balanced,2102,4.1376584852920795,1000.237513089377
8,Plastic,1887,3.7077233200020596,1000.7994034575177
9,Stoic,1845,3.780334737823275,1000.197725666216
9,Balanced,2043,4.169942412728975,1000.0702196315434
9,Plastic,2073,4.121521031557408,1001.112462172446
10,Stoic,2143,4.27955032313535,1000.4152025707014
10,Balanced,2060,3.995977700550608,1000.9448802118997
10,Plastic,2033,3.935027282724297,1000.3328072431123
11,Stoic,1967,3.9108037334288657,1000.0812938284811
11,Balanced,1988,3.997031795155711,1001.17155984914
11,Plastic,2057,4.013272723976162,1001.3560375705283
12,Stoic,1897,3.8010456314050423,1000.5214250310077
12,Balanced,2191,4.322546130199942,1001.2197231884769
12,Plastic,2173,4.287558977943297,1000.089143323705
13,Stoic,1842,3.6646014552363995,1000.783665856537
13,Balanced,2211,4.341941182032742,1000.5673098575493
13,Plastic,1960,3.9355910725320027,1000.2872872751133
14,Stoic,1846,3.509624176473113,1000.5700915951268
14,Balanced,2149,4.309895249018698,1001.4312136042221
14,Plastic,2149,4.202852499376008,1001.3936286069433
15,Stoic,1826,3.6566294320414374,1000.2556801425923
15,Balanced,2073,4.120358242515313,1001.4455633443043
15,Plastic,2159,4.351284255744614,1001.0919979538509
16,Stoic,2074,4.0725815367855285,1000.2517441323654
16,Balanced,2044,4.164631238734363,1000.3983221120278
16,Plastic,1897,3.8216371714872204,1000.0774984512502
17,Stoic,1897,3.747435810358247,1000.0956353403532
17,Balanced,2202,4.395293038477912,1001.2363755327679
17,Plastic,2119,4.175613333008739,1000.8666374295517
18,Stoic,2054,4.052800974321198,1001.4081391426746
18,Balanced,1845,3.681058816383151,1000.6202920111991
18,Plastic,1939,3.8763459848176933,1000.775130748278
19,Stoic,1956,3.777516935567112,1000.9252783448721
19,Balanced,1960,3.939522849652539,1000.8016400941389
19,Plastic,2009,4.029256434269484,1000.8512206304681
20,Stoic,2187,4.2723410704978795,1001.0934441552102
20,Balanced,1957,3.9180977638307057,1000.0437840117476
20,Plastic,2046,4.158910684196816,1001.166987576117
21,Stoic,2008,3.991954419900614,1001.3686387189127
21,Balanced,1995,4.11501677983118,1001.1534184819923
21,Plastic,2033,4.044879609695391,1000.6746167628916
22,Stoic,1938,3.7381246293012746,1000.127495979051
22,Balanced,2027,4.034458622774986,1000.1864085557742
22,Plastic,2053,3.9539137104818027,1000.3401226830639
23,Stoic,2090,3.9912633685558676,1000.526001048392
23,Balanced,2167,4.22223054586784,1001.4949656856003
23,Plastic,1925,3.7653946122283535,1001.1853221713166
24,Stoic,2012,3.9935245733418885,1001.3621638757417
24,Balanced,2043,4.061104718508621,1001.4020085329713
24,Plastic,2009,3.932326539241576,1000.2167820380574
25,Stoic,1874,3.7611927913683085,1001.664100680148
25,Balanced,1897,3.816724235985895,1000.6878066359707
25,Plastic,2157,4.316256440706812,1000.8284124415827
26,Stoic,1920,3.779091093190164,1000.0659182813461
26,Balanced,1857,3.723335463303635,1001.0170714502476
26,Plastic,2094,4.205752443652613,1001.1187510096338
27,Stoic,1877,3.64251219655552,1000.0586503926065
27,Balanced,1877,3.634964926147649,1000.9744759072723
27,Plastic,2037,4.051668849037999,1000.8119323632727
28,Stoic,2095,4.219271564668047,1001.0104313301104
28,Balanced,1960,3.9867734254335607,1000.0239740597741
28,Plastic,2091,3.992206028996145,1000.0164249551128
29,Stoic,2114,4.0952194436781415,1001.2817021022037
29,Balanced,1955,3.7805874133154913,1000.8089048786284
29,Plastic,2012,4.030489871325504,1001.0494447404212
30,Stoic,2036,4.087116628638243,1001.2412351863502
30,Balanced,1866,3.6624569783799137,1001.3461886162585
30,Plastic,2133,4.194700052282541,1000.7846154288662
31,Stoic,2221,4.405284802596194,1000.5298157187324
31,Balanced,1978,4.013948347929413,1000.6487803605424
31,Plastic,2021,4.105016165624588,1000.1676224680206
32,Stoic,2026,4.107006224310469,1000.128439911435
32,Balanced,1987,3.9299610464287915,1001.4470251194834
32,Plastic,2000,3.972844753719239,1000.7922836152543
33,Stoic,2104,4.2852811535537665,1001.1254147269109
33,Balanced,1983,4.0362894939471134,1000.2595255043761
33,Plastic,2066,4.0584955566847905,1001.0612049472363
34,Stoic,2121,4.209026384368521,1001.0798214115252
